Product Name,Product URL,Product Price,Rating,Number of Reviews
COSRX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg1OTUyMDM1MjQ5OTMzOjE3NDAzNjgzOTk6c3BfbXRmOjMwMDIxMjAwNDQ4NTUwMjo6MDo6&url=%2FCOSRX-Good-Morning-Cleanser-150ml%2Fdp%2FB016NRXO06%2Fref%3Dsr_1_11_sspa%3Fcrid%3D14BP4JLRJXR9Q%26dib%3DeyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD03626ELGBcr8Ed_hC30BdI.4dkpQYM7EdKlc9Oxome17qhpqtqExsj_SEesxzTWWDk%26dib_tag%3Dse%26keywords%3Dcosrx%26qid%3D1740368399%26s%3Dbeauty%26sprefix%3Dcosrx%252Cbeauty%252C117%26sr%3D1-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$12.99,4.5 out of 5 stars,"17,973"
COSRX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg1OTUyMDM1MjQ5OTMzOjE3NDAzNjgzOTk6c3BfbXRmOjMwMDYzNjk1OTQ3MTcwMjo6MDo6&url=%2FCOSRX-Advanced-Snail-Radiance-Essence%2Fdp%2FB08FSWVXRD%2Fref%3Dsr_1_12_sspa%3Fcrid%3D14BP4JLRJXR9Q%26dib%3DeyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD03626ELGBcr8Ed_hC30BdI.4dkpQYM7EdKlc9Oxome17qhpqtqExsj_SEesxzTWWDk%26dib_tag%3Dse%26keywords%3Dcosrx%26qid%3D1740368399%26s%3Dbeauty%26sprefix%3Dcosrx%252Cbeauty%252C117%26sr%3D1-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$22.99,4.5 out of 5 stars,"5,624"
COSRX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg1OTUyMDM1MjQ5OTMzOjE3NDAzNjgzOTk6c3BfbXRmOjMwMDExNzg4MjI1MTcwMjo6MDo6&url=%2FCOSRX-Collagen-Boosting-Niacinamide-Hyaluronic%2Fdp%2FB0CCJ3SRB9%2Fref%3Dsr_1_13_sspa%3Fcrid%3D14BP4JLRJXR9Q%26dib%3DeyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD03626ELGBcr8Ed_hC30BdI.4dkpQYM7EdKlc9Oxome17qhpqtqExsj_SEesxzTWWDk%26dib_tag%3Dse%26keywords%3Dcosrx%26qid%3D1740368399%26s%3Dbeauty%26sprefix%3Dcosrx%252Cbeauty%252C117%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$19.29,4.6 out of 5 stars,"4,143"
COSRX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg1OTUyMDM1MjQ5OTMzOjE3NDAzNjgzOTk6c3BfbXRmOjMwMDU1ODA0Nzg1ODUwMjo6MDo6&url=%2FCOSRX-Snail-Mucin-Peptide-Booster%2Fdp%2FB0D663VWFC%2Fref%3Dsr_1_14_sspa%3Fcrid%3D14BP4JLRJXR9Q%26dib%3DeyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD03626ELGBcr8Ed_hC30BdI.4dkpQYM7EdKlc9Oxome17qhpqtqExsj_SEesxzTWWDk%26dib_tag%3Dse%26keywords%3Dcosrx%26qid%3D1740368399%26s%3Dbeauty%26sprefix%3Dcosrx%252Cbeauty%252C117%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$34.99,4.6 out of 5 stars,408
COSRX,https://www.amazon.in/COSRX-Advanced-Cleanser-Secretion-Filtrate/dp/B08H6PHF2N/ref=sr_1_15?crid=14BP4JLRJXR9Q&dib=eyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD2RC2vZlWi23LVNGVIJc19Cr8R7xaTKGxFeBbABvjkTh6tV7T_E-ba23TRBqanA19nLiisezrhv6xsgcVHG2hFX0QKFsBLHjY4V_HHz9sQ1bLMKClFT37aPx1HrbApSNucUqZHN3DkdmRNSFO0uBMIH66ND_jO1paHQJxZOJhbB9.Sr4bU5FY-YaRABullitPCHR8OrlwZdvoA7q43U9c1kA&dib_tag=se&keywords=cosrx&qid=1740368399&s=beauty&sprefix=cosrx%2Cbeauty%2C117&sr=1-15,$16.49,4.6 out of 5 stars,"3,060"
COSRX,https://www.amazon.in/COSRX-Anti-aging-Retinoid-Treatment-Wrinkles/dp/B0B5DHH6S4/ref=sr_1_16?crid=14BP4JLRJXR9Q&dib=eyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD2RC2vZlWi23LVNGVIJc19Cr8R7xaTKGxFeBbABvjkTh6tV7T_E-ba23TRBqanA19nLiisezrhv6xsgcVHG2hFX0QKFsBLHjY4V_HHz9sQ1bLMKClFT37aPx1HrbApSNucUqZHN3DkdmRNSFO0uBMIH66ND_jO1paHQJxZOJhbB9.Sr4bU5FY-YaRABullitPCHR8OrlwZdvoA7q43U9c1kA&dib_tag=se&keywords=cosrx&qid=1740368399&s=beauty&sprefix=cosrx%2Cbeauty%2C117&sr=1-16,$18.99,4.5 out of 5 stars,"2,240"
COSRX,https://www.amazon.in/COSRX-Ultra-Moisturizing-Lotion-Birch/dp/B01CLTKI4A/ref=sr_1_17?crid=14BP4JLRJXR9Q&dib=eyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD2RC2vZlWi23LVNGVIJc19Cr8R7xaTKGxFeBbABvjkTh6tV7T_E-ba23TRBqanA19nLiisezrhv6xsgcVHG2hFX0QKFsBLHjY4V_HHz9sQ1bLMKClFT37aPx1HrbApSNucUqZHN3DkdmRNSFO0uBMIH66ND_jO1paHQJxZOJhbB9.Sr4bU5FY-YaRABullitPCHR8OrlwZdvoA7q43U9c1kA&dib_tag=se&keywords=cosrx&qid=1740368399&s=beauty&sprefix=cosrx%2Cbeauty%2C117&sr=1-17,$18.99,4.5 out of 5 stars,"6,548"
COSRX,https://www.amazon.in/COSRX-Moisturizer-Sensitive-Parabens-Phthalates/dp/B0CHJD8829/ref=sr_1_18?crid=14BP4JLRJXR9Q&dib=eyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD2RC2vZlWi23LVNGVIJc19Cr8R7xaTKGxFeBbABvjkTh6tV7T_E-ba23TRBqanA19nLiisezrhv6xsgcVHG2hFX0QKFsBLHjY4V_HHz9sQ1bLMKClFT37aPx1HrbApSNucUqZHN3DkdmRNSFO0uBMIH66ND_jO1paHQJxZOJhbB9.Sr4bU5FY-YaRABullitPCHR8OrlwZdvoA7q43U9c1kA&dib_tag=se&keywords=cosrx&qid=1740368399&s=beauty&sprefix=cosrx%2Cbeauty%2C117&sr=1-18,2 sizes,4.6 out of 5 stars,"3,057"
COSRX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg1OTUyMDM1MjQ5OTMzOjE3NDAzNjgzOTk6c3BfbXRmOjMwMDIwOTIyMTEzMzUwMjo6MDo6&url=%2FCOSRX-Hyaluronic-Intensive-Cream-100ml%2Fdp%2FB072FH17NJ%2Fref%3Dsr_1_19_sspa%3Fcrid%3D14BP4JLRJXR9Q%26dib%3DeyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD03626ELGBcr8Ed_hC30BdI.4dkpQYM7EdKlc9Oxome17qhpqtqExsj_SEesxzTWWDk%26dib_tag%3Dse%26keywords%3Dcosrx%26qid%3D1740368399%26s%3Dbeauty%26sprefix%3Dcosrx%252Cbeauty%252C117%26sr%3D1-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$20.99,4.6 out of 5 stars,"5,938"
COSRX,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTg1OTUyMDM1MjQ5OTMzOjE3NDAzNjgzOTk6c3BfbXRmOjMwMDYzMDk2NTIyMDAwMjo6MDo6&url=%2FCOSRX-Discoloration-Niacinamide-Glutathione-Tranexamic%2Fdp%2FB0DGG3MMJX%2Fref%3Dsr_1_20_sspa%3Fcrid%3D14BP4JLRJXR9Q%26dib%3DeyJ2IjoiMSJ9.qdfyyR5CGXdWYQcVnHQfK1LjU3kMQDLDOzhtTdPveFpw8amaxJZ8qCYjgKHT-XyfhfIwvIBGK1E8SUf-eZJE2IAY2rtZn6qIwZbIuA32EmW6MKVQi-uqrA7aGyyDFwb_-pkChyxOt5skUF01SZuqhsL8yE4XHWuaY5MqWx1LScDV1E2F0YuJvpn3yfuNUyWPzIn5iBgOn3n4oG9CEETWdavb0PIVRcZGFM8mvBkBYLw6PCYjwsd_nnIKx1JXjSzlzD5oEmO7AjcAkSwrUnMLD03626ELGBcr8Ed_hC30BdI.4dkpQYM7EdKlc9Oxome17qhpqtqExsj_SEesxzTWWDk%26dib_tag%3Dse%26keywords%3Dcosrx%26qid%3D1740368399%26s%3Dbeauty%26sprefix%3Dcosrx%252Cbeauty%252C117%26sr%3D1-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$25.00,4.4 out of 5 stars,41
